Classifier,RÂ²,RMSE,MAPE,MDAPE,Accuracy
RandomForestRegressor,0.5494186132171212,0.7372305747231684,10.363209317364968,8.168589889034626,89.83476647776317
GradientBoostingRegressor,0.5835684393959468,0.7064395461387672,9.679185463632521,6.643489989316743,90.52400206385676
AdaBoostRegressor,0.5662160795369089,0.7242679300348659,10.53798314759156,8.624859639664828,89.65477474222955
BaggingRegressor,0.4796548899888176,0.7919806874477089,11.105452180340274,8.854221853312229,89.09793464603963
LinearRegression,-3.419134669,2.190123990373813,30.586330647235673,20.467347900157883,19.1860740666962
Ridge,-0.395918562,1.2401762255521773,18.093596210394452,12.480554291507039,78.91460635076311
Lasso,-0.005315454,1.1037263897244434,15.011160619791948,13.395098013518407,84.35445147846119
ElasticNet,0.12107319514748952,1.0324282283418462,14.30380676205622,12.453631296428934,85.26784197607395
SVR,0.47908724157215976,0.7952128082479559,9.886103743523254,7.833236187352442,89.37162563962832
DecisionTreeRegressor,0.12718624469378667,1.0143468037004204,12.38343270391222,7.08673245187024,87.35418155078833
MLPRegressor,-156.3597309,6.950909034987784,37.23791928760473,11.7885393207937,75.37790174041463
XGBRegressor,0.47803310423881856,0.7905513124295881,10.484548052624374,7.468690647439681,89.680004465376
GaussianProcessRegressor,-20.38186155,5.063481383041671,97.58454027116713,100,#NAME?
