Classifier,RÂ²,RMSE,MAPE,MDAPE,Accuracy
RandomForestRegressor,0.2155332707148628,0.8188293722514874,10.997152789002213,6.867019034406292,89.41083405145199
GradientBoostingRegressor,0.1041059053974406,0.8734109699007284,12.41281302697737,8.160011784791587,88.21331650221602
AdaBoostRegressor,-0.12444802986020213,0.9770546257645526,16.858011882145757,13.085488209846494,85.71047007175905
BaggingRegressor,0.1294606246443346,0.8587451965894788,11.76781231457841,7.125042058178771,88.70273948595383
ExtraTreesRegressor,-0.2980203609067535,1.0467683960331071,13.572615043517322,8.779302720126253,86.71618540007118
LinearRegression,-37.57460128771201,5.058422109570502,38.44278577152598,12.141536636941979,46.80847386808297
Ridge,-1.553093636429789,1.4475216455871704,19.33870547557404,10.92361998610605,73.34163096512455
Lasso,-0.001862553724631022,0.9269882290470699,15.080093285138002,10.077920214002017,87.6629230466729
ElasticNet,-0.001862553724631022,0.9269882290470699,15.080093285138002,10.077920214002017,87.6629230466729
SVR,0.15486392925484047,0.8508717246505089,12.178714723020663,6.992682315906203,88.87114484435475
DecisionTreeRegressor,-0.522709182765484,1.134013331116195,14.843220571217433,8.576461996151483,85.82082867504198
MLPRegressor,-7.774284922953396,2.6365225073051626,20.586930179077903,8.77651390324082,28.230492059750077
XGBRegressor,0.10698901177205969,0.8714648194324661,11.297638859447176,6.5678382090399925,88.78727486500108
GaussianProcessRegressor,-23.78296917776971,4.576183983852323,84.22464058704526,99.99999998521778,-inf
